bash: scripts/train_distributed.py: Permissão negada
2026-03-09 21:54:44,784 | === Training started: 2026-03-09T21:54:44.784889 ===
2026-03-09 21:54:44,785 | Config: AletheionV2Config(vocab_size=50257, d_model=1024, n_heads=16, n_layers=24, d_ff=4096, max_seq_len=1024, dropout=0.1, rope_base=10000.0, gate_hidden_dim=64, gate_num_layers=2, gate_dropout=0.1, enable_fractal=False, drm_dim=5, drm_num_anchors=6, drm_coord_activation='sigmoid', metric_eps=1e-06, dir_num_bins=16, mad_init_log_tau_sq=0.0, mad_per_axis=True, vi_phi_weights=(0.35, 0.25, 0.25, 0.15), vi_phi_critical=0.5, vi_injection_strength=0.6, vi_confidence_penalty=0.4, vi_ideal_conf_std=0.15, mpc_num_actions=12, mpc_beam_width=4, mpc_lookahead_depth=3, mpc_phi_floor=0.45, mpc_intervention_cost_weight=0.2, enable_eidos=True, eidos_base_decay=0.95, eidos_base_reinforce=1.05, eidos_dream_intensity=3.0, enable_filosofia3=True, filosofia3_quality_projection=(0.1, 0.1, 0.1, 0.7), filosofia3_analytical_weight=0.7, enable_consciousness=True, consciousness_hidden_dim=32, consciousness_energy_decay=0.3, enable_grounding=True, grounding_task_hidden_dim=64, grounding_ambiguity_hidden_dim=32, enable_plasticity=True, plasticity_initial_budget=1.0, plasticity_depletion_rate=0.02, enable_mpl=True, mpl_resolution=10, mpl_bandwidth=0.15, mpl_hidden_dim=16, enable_mopsi=True, mopsi_hidden_dim=32, enable_causal_state=True, causal_state_hidden_dim=32, enable_metacognitive=True, metacognitive_hidden_dim=128, metacognitive_proj_dim=0, enable_ewc=True, ewc_lambda=100.0, ewc_online=True, ewc_gamma=0.9, ewc_fisher_samples=256, enable_replay=True, replay_buffer_size=10000, replay_mix_ratio=0.1, enable_tomography=False, lambda_ce=1.0, lambda_varo=0.1, lambda_vi=0.01, lambda_mad=0.05, lambda_metric_reg=0.001, lambda_eidos=0.005, lambda_conflict=0.005, lambda_consciousness=0.003, lambda_grounding=0.005, lambda_plasticity=0.002, lambda_frontier=0.002, lambda_mopsi=0.003, lambda_contrastive=0.003, lambda_stp=0.01, enable_stp=True, stp_num_triplets=1, loss_warmup_fraction=0.1, loss_ramp_fraction=0.5, lambda_decay_mode='none', lambda_decay_k=0.0003, lambda_decay_factor=1.0, lambda_decay_interval=0, learning_rate=0.0003, weight_decay=0.01, batch_size=4, max_epochs=10, grad_clip=1.0, warmup_steps=2000, log_interval=50, eval_interval=500, early_stopping_patience=10, tokenizer_name='gpt2', tokenizer_path='', data_dir='data/350m_rtx4090', dataset_name='', dataset_subset='', data_mix_weights='', num_workers=4, prefetch_factor=2, streaming=False, distributed=False, dist_backend='nccl', fsdp=False, fsdp_sharding='full', gradient_checkpointing=True, gradient_accumulation_steps=16, mixed_precision='bf16', compile_model=False, wandb_project='aletheion-v2-350m', wandb_run_name='', tensorboard_dir='', save_dir='checkpoints/350m_backbone_final', save_interval=500, save_total_limit=5, total_tokens=7000000000, tokens_per_step=0)
2026-03-09 21:59:47,940 | annealing=1.000000 | ce=3.328377 | conflict=0.000000 | consciousness=0.000000 | contrastive=0.000000 | eidos=0.000000 | epoch=0 | frontier=0.000000 | grad_norm=0.632499 | grounding=0.000000 | lr=0.000010 | mad=0.000000 | metric=0.000000 | mopsi=0.000000 | plasticity=0.000000 | step=105050 | stp=1.468305 | tokens_per_sec=10837.697132 | tokens_seen=6884556800 | total=3.343060 | varo=0.000000 | vi=0.000000
2026-03-09 22:04:49,354 | annealing=1.000000 | ce=3.333955 | conflict=0.000000 | consciousness=0.000000 | contrastive=0.000000 | eidos=0.000000 | epoch=0 | frontier=0.000000 | grad_norm=0.620729 | grounding=0.000000 | lr=0.000010 | mad=0.000000 | metric=0.000000 | mopsi=0.000000 | plasticity=0.000000 | step=105100 | stp=1.468645 | tokens_per_sec=10854.531126 | tokens_seen=6887833600 | total=3.348642 | varo=0.000000 | vi=0.000000
2026-03-09 22:09:48,233 | annealing=1.000000 | ce=3.333279 | conflict=0.000000 | consciousness=0.000000 | contrastive=0.000000 | eidos=0.000000 | epoch=0 | frontier=0.000000 | grad_norm=0.637726 | grounding=0.000000 | lr=0.000010 | mad=0.000000 | metric=0.000000 | mopsi=0.000000 | plasticity=0.000000 | step=105150 | stp=1.470269 | tokens_per_sec=10890.657008 | tokens_seen=6891110400 | total=3.347982 | varo=0.000000 | vi=0.000000
2026-03-09 22:14:46,591 | annealing=1.000000 | ce=3.307963 | conflict=0.000000 | consciousness=0.000000 | contrastive=0.000000 | eidos=0.000000 | epoch=0 | frontier=0.000000 | grad_norm=0.628587 | grounding=0.000000 | lr=0.000010 | mad=0.000000 | metric=0.000000 | mopsi=0.000000 | plasticity=0.000000 | step=105200 | stp=1.463300 | tokens_per_sec=10913.542851 | tokens_seen=6894387200 | total=3.322596 | varo=0.000000 | vi=0.000000
2026-03-09 22:19:45,859 | annealing=1.000000 | ce=3.328451 | conflict=0.000000 | consciousness=0.000000 | contrastive=0.000000 | eidos=0.000000 | epoch=0 | frontier=0.000000 | grad_norm=0.651762 | grounding=0.000000 | lr=0.000010 | mad=0.000000 | metric=0.000000 | mopsi=0.000000 | plasticity=0.000000 | step=105250 | stp=1.468239 | tokens_per_sec=10920.690962 | tokens_seen=6897664000 | total=3.343134 | varo=0.000000 | vi=0.000000
2026-03-09 22:24:43,872 | annealing=1.000000 | ce=3.318652 | conflict=0.000000 | consciousness=0.000000 | contrastive=0.000000 | eidos=0.000000 | epoch=0 | frontier=0.000000 | grad_norm=0.616899 | grounding=0.000000 | lr=0.000010 | mad=0.000000 | metric=0.000000 | mopsi=0.000000 | plasticity=0.000000 | step=105300 | stp=1.460139 | tokens_per_sec=10933.090049 | tokens_seen=6900940800 | total=3.333253 | varo=0.000000 | vi=0.000000
2026-03-09 22:29:44,282 | annealing=1.000000 | ce=3.313125 | conflict=0.000000 | consciousness=0.000000 | contrastive=0.000000 | eidos=0.000000 | epoch=0 | frontier=0.000000 | grad_norm=0.626646 | grounding=0.000000 | lr=0.000010 | mad=0.000000 | metric=0.000000 | mopsi=0.000000 | plasticity=0.000000 | step=105350 | stp=1.468620 | tokens_per_sec=10929.464635 | tokens_seen=6904217600 | total=3.327812 | varo=0.000000 | vi=0.000000
2026-03-09 22:34:44,576 | annealing=1.000000 | ce=3.309514 | conflict=0.000000 | consciousness=0.000000 | contrastive=0.000000 | eidos=0.000000 | epoch=0 | frontier=0.000000 | grad_norm=0.627134 | grounding=0.000000 | lr=0.000010 | mad=0.000000 | metric=0.000000 | mopsi=0.000000 | plasticity=0.000000 | step=105400 | stp=1.465116 | tokens_per_sec=10927.276061 | tokens_seen=6907494400 | total=3.324165 | varo=0.000000 | vi=0.000000
2026-03-09 22:39:47,315 | annealing=1.000000 | ce=3.326432 | conflict=0.000000 | consciousness=0.000000 | contrastive=0.000000 | eidos=0.000000 | epoch=0 | frontier=0.000000 | grad_norm=0.634080 | grounding=0.000000 | lr=0.000010 | mad=0.000000 | metric=0.000000 | mopsi=0.000000 | plasticity=0.000000 | step=105450 | stp=1.468060 | tokens_per_sec=10915.684529 | tokens_seen=6910771200 | total=3.341113 | varo=0.000000 | vi=0.000000
2026-03-09 22:44:52,349 | annealing=1.000000 | ce=3.321817 | conflict=0.000000 | consciousness=0.000000 | contrastive=0.000000 | eidos=0.000000 | epoch=0 | frontier=0.000000 | grad_norm=0.609753 | grounding=0.000000 | lr=0.000010 | mad=0.000000 | metric=0.000000 | mopsi=0.000000 | plasticity=0.000000 | step=105500 | stp=1.468793 | tokens_per_sec=10898.105289 | tokens_seen=6914048000 | total=3.336505 | varo=0.000000 | vi=0.000000
2026-03-09 22:50:20,686 | annealing=1.000000 | ce=3.307796 | conflict=0.000000 | consciousness=0.000000 | contrastive=0.000000 | eidos=0.000000 | epoch=0 | frontier=0.000000 | grad_norm=0.614143 | grounding=0.000000 | lr=0.000010 | mad=0.000000 | metric=0.000000 | mopsi=0.000000 | plasticity=0.000000 | step=105550 | stp=1.466032 | tokens_per_sec=10807.719696 | tokens_seen=6917324800 | total=3.322457 | varo=0.000000 | vi=0.000000
